scheme,age,snr_mean,snr_stderr
exp/tau=30000,155,9.761517e-1,4.202281e-1
exp/tau=30000,193,3.082253e-1,3.889770e-1
exp/tau=30000,241,3.265087e-1,3.980153e-1
exp/tau=30000,300,5.935650e-1,4.032823e-1
exp/tau=30000,373,2.695584e-1,3.084872e-1
exp/tau=30000,465,-1.207949e-1,3.263752e-1
exp/tau=30000,579,2.360262e-1,3.735668e-1
exp/tau=30000,721,-1.594907e-2,2.399911e-1
exp/tau=30000,897,3.251838e-1,2.598410e-1
exp/tau=30000,1118,3.511216e-1,4.051884e-1
exp/tau=30000,1392,2.791106e-1,2.697255e-1
exp/tau=30000,1733,4.741930e-2,3.759611e-1
exp/tau=30000,2158,-2.996565e-1,2.953658e-1
exp/tau=30000,2687,-1.155042e-1,4.116363e-1
exp/tau=30000,3346,-3.750223e-1,3.334990e-1
exp/tau=30000,4167,3.577448e-1,3.276592e-1
exp/tau=30000,5189,1.481206e-1,1.691726e-1
exp/tau=30000,6461,4.904096e-1,3.809605e-1
exp/tau=30000,8046,2.339646e-1,4.208039e-1
exp/tau=30000,10019,1.823917e-2,3.423354e-1
exp/tau=30000,12476,-1.971225e-1,4.708352e-1
exp/tau=30000,15536,5.855900e-2,3.226046e-1
exp/tau=30000,19347,-3.538499e-1,4.980676e-1
exp/tau=30000,24091,6.014245e-1,3.049800e-1
exp/tau=30000,30000,3.655459e-1,3.161981e-1
uniform/g=0.25/m=8,1,7.254848e0,1.648158e-1
uniform/g=0.25/m=8,2,7.040124e0,1.487022e-1
uniform/g=0.25/m=8,3,6.739947e0,1.813772e-1
uniform/g=0.25/m=8,4,6.527419e0,1.494419e-1
uniform/g=0.25/m=8,5,6.246985e0,1.943251e-1
uniform/g=0.25/m=8,6,6.193775e0,1.896973e-1
uniform/g=0.25/m=8,7,5.969539e0,3.030038e-1
uniform/g=0.25/m=8,9,5.758569e0,2.207687e-1
uniform/g=0.25/m=8,11,5.266947e0,2.496681e-1
