scheme,age,snr_mean,snr_stderr
geo/r=4/m=4,22,4.759496e0,4.873928e-2
geo/r=4/m=4,27,4.439122e0,4.874072e-2
geo/r=4/m=4,33,4.070354e0,5.040253e-2
geo/r=4/m=4,42,3.558829e0,5.053874e-2
geo/r=4/m=4,52,3.092801e0,5.362853e-2
geo/r=4/m=4,65,2.619708e0,5.953542e-2
geo/r=4/m=4,80,2.284025e0,6.161917e-2
geo/r=4/m=4,100,2.033655e0,6.028016e-2
geo/r=4/m=4,125,1.745952e0,6.452666e-2
geo/r=4/m=4,155,1.561319e0,6.312906e-2
geo/r=4/m=4,193,1.413405e0,6.246081e-2
geo/r=4/m=4,241,1.288009e0,5.931819e-2
geo/r=4/m=4,300,1.183297e0,6.672471e-2
geo/r=4/m=4,373,1.038852e0,6.379039e-2
geo/r=4/m=4,465,9.480257e-1,6.533366e-2
geo/r=4/m=4,579,8.298276e-1,6.072562e-2
geo/r=4/m=4,721,5.710774e-1,6.022933e-2
geo/r=4/m=4,897,5.612242e-1,6.340109e-2
geo/r=4/m=4,1118,3.996737e-1,6.488142e-2
geo/r=4/m=4,1392,2.786320e-1,6.603472e-2
geo/r=4/m=4,1733,2.472446e-1,6.947914e-2
geo/r=4/m=4,2158,2.986216e-1,6.215259e-2
geo/r=4/m=4,2687,3.325971e-1,5.937070e-2
geo/r=4/m=4,3346,2.045289e-1,6.159337e-2
geo/r=4/m=4,4167,1.138471e-1,6.389358e-2
geo/r=4/m=4,5189,2.204252e-1,6.110684e-2
geo/r=4/m=4,6461,1.275971e-1,6.884494e-2
geo/r=4/m=4,8046,6.334806e-2,6.522155e-2
geo/r=4/m=4,10019,1.212029e-1,6.313907e-2
geo/r=4/m=4,12476,1.774536e-2,6.599993e-2
geo/r=4/m=4,15536,4.361164e-2,6.107446e-2
geo/r=4/m=4,19347,2.464324e-2,6.611596e-2
geo/r=4/m=4,24091,9.990562e-2,6.360201e-2
geo/r=4/m=4,30000,1.289351e-2,6.143266e-2
geo/r=8/m=3,1,7.195010e0,3.485881e-2
geo/r=8/m=3,2,6.414226e0,3.676913e-2
geo/r=8/m=3,3,5.680271e0,3.987539e-2
geo/r=8/m=3,4,5.215484e0,4.456609e-2
geo/r=8/m=3,5,5.032954e0,4.819459e-2
geo/r=8/m=3,6,4.882517e0,4.682833e-2
geo/r=8/m=3,7,4.773153e0,4.572853e-2
geo/r=8/m=3,9,4.800144e0,4.293773e-2
geo/r=8/m=3,11,4.701612e0,4.744671e-2
geo/r=8/m=3,14,4.612486e0,4.826251e-2
geo/r=8/m=3,17,4.539409e0,4.899053e-2
geo/r=8/m=3,22,4.403281e0,5.165751e-2
geo/r=8/m=3,27,4.322616e0,4.968943e-2
geo/r=8/m=3,33,4.182233e0,5.075640e-2
geo/r=8/m=3,42,3.964540e0,4.860257e-2
geo/r=8/m=3,52,3.736472e0,5.083127e-2
